code,price,description,size,weight,gift,preorder,imageFile
MÃ2,300k,"Có pin, nhỏ gọn, rung đầu khắc",8x25cm,450g,5 gói gel,false,ma2.jpg
MÃ3,300k,"Nhỏ gọn, silicon loại 1, bao phê bao khít, chạm tinh hoàn",7x15cm,480g,5 gói gel,false,ma3.jpg
MÃ4,980k,"Mô phỏng mông thật, silicon loại 1, chim size vừa",15x28cm,2800g,10 gói gel,false,ma4.jpg
MÃ6,550k,"Silicon loại 1, 3 lỗ siêu tiện",9x22cm,800g,10 gói gel,false,ma6.jpg
MÃ7,560k,"Có bướm, silicon loại 1, bao phê, giống nhau nhưng khác kích thước",12x25cm,1200g,10 gói gel,false,ma7.jpg
MÃ8,680k,"Sạc pin tiện lợi, làm ấm, nhiều chế độ rung, kèm tai nghe",10x22cm,1000g,10 gói gel,false,ma8.png
MÃ9,950k,"Có bướm, silicon loại 1, bao phê, kích thước lớn",20x35cm,2500g,10 gói gel,false,ma9.jpg
MÃ10,150k,"Nhỏ gọn, silicon loại 1, bao phê bao khít, chạm tinh hoàn",7x15cm,300g,5 gói gel,false,ma10.jpg
MÃ11,300k,"Có bướm nhỏ gọn, silicon loại 1, bao phê, chạm tinh hoàn",7.5x16cm,510g,5 gói gel,false,ma11.jpg
MÃ12,2.180k,"Có bướm, silicon loại 1, kích thước lớn tăng cảm giác chân thật",25x43cm,5500g,20 gói gel,true,ma12.jpg
MÃ13,7.450k,"Mô phỏng người thật đầy đủ bộ phận, silicon loại 1",100cm,15000g,30 gói gel,true,ma13.jpg
Gel bôi trơn,150k/chai 200ml,Tặng 5 gói gel khi mua,,,,false,gel.jpg
